,prd_name,price,sale_price
181,banila co. Miss Flower & Mr. Honey Propolis Rejuvenating Ampoule Mist 99ml,USD 25.00,USD 21.25
182,SKIN1004 Madagascar Centella Hyalu Cica Brightening Toner 210ml,USD 22.00,USD 18.70
183,the SAEM Urban Eco Waratah Toner 180ml (Renewal),USD 26.16,USD 22.24
184,SKIN1004 Madagascar Centella Toning Toner 400ml,USD 33.00,USD 28.05
185,COSRX Balancium Comfort Ceramide Cream Mist 120ml,USD 29.00,USD 14.50
186,WellDerma CHADEW TEATREE SOOTHING BUBBLE TONER 150ml + 100ml,USD 39.00,USD 27.30
187,WellDerma SAPPHIRE COLLAGEN IMPACT HYDRO TONER 100ml,USD 45.00,USD 31.50
188,WellDerma SAPPHIRE COLLAGEN IMPACT HYDRO MIST 150ml,USD 36.00,USD 25.20
189,Neulii AC Clean Saver Toner Pad 60 sheets,USD 17.00,USD 14.45
190,THE LAB by blanc doux Prebiotic Cera Liquid 210ml,USD 28.00,USD 23.80
191,COMMONLABS Triple Vita Balancing Toner 210ml,USD 22.00,USD 18.70
192,"Logically, Skin Aquatide Multi-Purpose Toner Mist 200ml",USD 42.00,USD 35.70
193,Dr.Jart+ Cicapair Toner 150ml,USD 28.00,USD 17.99
194,BLANCHET Glam Pearl Radiance Essential Mist 55ml,USD 35.00,USD 29.75
195,Sooryehan Chunsam Radiant Set,USD 100.00,USD 85.00
196,Sooryehan Bon Deep Hydration Set,USD 63.00,USD 53.55
197,BEYOND Miracle For Rest Essential Toner 150ml,USD 40.60,USD 34.51
198,Sooryehan HyoBidam Moisture Skin 160ml,USD 28.00,USD 23.80
199,Sooryehan Bon Extra Moisture Toner 160ml,USD 30.40,USD 25.84
200,SOME BY MI Super Matcha Pore Tightening Toner 150ml,USD 29.00,USD 19.99
201,SOME BY MI Red Teatree Cicassoside Derma Solution Toner 150ml,USD 29.00,USD 14.99
202,THE FACE SHOP Aloe fresh Soothing Mist 130ml,USD 17.07,USD 11.93
203,THE FACE SHOP Mango Seed Ceramide Moisturizing Toner 160ml,USD 25.57,USD 17.87
204,Dr.Belmeur Clarifying Soothing Mist 100ml,USD 19.07,USD 16.21
